name;C;Si
1;0.15;0.35
2;0.16326530612244897;0.35
3;0.17653061224489797;0.35
4;0.18979591836734694;0.35
5;0.2030612244897959;0.35
6;0.21632653061224488;0.35
7;0.22959183673469388;0.35
8;0.24285714285714285;0.35
9;0.25612244897959185;0.35
10;0.2693877551020408;0.35
11;0.2826530612244898;0.35
12;0.29591836734693877;0.35
13;0.3091836734693878;0.35
14;0.3224489795918367;0.35
15;0.33571428571428574;0.35
16;0.3489795918367347;0.35
17;0.3622448979591837;0.35
18;0.37551020408163266;0.35
19;0.38877551020408163;0.35
20;0.40204081632653066;0.35
21;0.4153061224489796;0.35
22;0.4285714285714286;0.35
23;0.4418367346938775;0.35
24;0.45510204081632655;0.35
25;0.4683673469387756;0.35
26;0.4816326530612245;0.35
27;0.4948979591836735;0.35
28;0.5081632653061224;0.35
29;0.5214285714285715;0.35
30;0.5346938775510205;0.35
31;0.5479591836734694;0.35
32;0.5612244897959184;0.35
33;0.5744897959183674;0.35
34;0.5877551020408164;0.35
35;0.6010204081632653;0.35
36;0.6142857142857143;0.35
37;0.6275510204081634;0.35
38;0.6408163265306123;0.35
39;0.6540816326530613;0.35
40;0.6673469387755103;0.35
41;0.6806122448979592;0.35
42;0.6938775510204083;0.35
43;0.7071428571428572;0.35
44;0.7204081632653062;0.35
45;0.7336734693877551;0.35
46;0.7469387755102042;0.35
47;0.7602040816326532;0.35
48;0.7734693877551021;0.35
49;0.7867346938775511;0.35
50;0.8;0.35
