2;1.196932457100151
4;1.1763995242138288
6;1.1268733255373207
8;1.0928078527267937
10;1.0909295804103987
12;1.0857669251119446
14;1.0680472832131467
16;1.047167489111716
18;1.0359795346414373
20;1.038293863154547
22;1.0195563620996155
24;1.0087848264750372
26;0.9853765047596161
28;0.9722980110390644
30;0.9581624870436327
35;0.9425062463255783
40;0.897453925116006
45;0.8535686604402117
50;0.8048105570113242
55;0.782031952555539
60;0.7631095888406304
65;0.7340981896636957
70;0.6955740800502737
75;0.6467288593424011
80;0.6206664555083419
85;0.5873686087235637
90;0.5572809906491294
95;0.5204587680492502
100;0.46924645872677717
