2;-9.609307242126125
4;-10.21290737590975
6;-9.782251603694311
8;-9.664542291056966
10;-10.139241045473673
12;-10.601190009761254
14;-10.611619939866605
16;-10.55846600648812
18;-10.712442687944254
20;-11.09065944213632
22;-11.044938368937672
24;-11.177262860299596
26;-10.967124981622023
28;-10.987468011422932
30;-10.921663745607642
35;-10.940479148074004
40;-10.193931311183047
45;-9.44160588889901
50;-8.531471898467585
55;-8.240033417964305
60;-8.089522469096307
65;-7.624875031257636
70;-6.945181916677104
75;-5.962094901462404
80;-5.538772959272733
85;-4.922490802724687
90;-4.431519970230139
95;-3.739121205778644
100;-2.657672394036572
