;Creq;Nieq;FN
0;17.0;9.0;7.509504133477094
1;17.0;9.183673469387756;6.7026740121928015
2;17.0;9.36734693877551;5.8774526593424525
3;17.0;9.551020408163266;5.064425026181198
4;17.0;9.73469387755102;4.320300113444318
5;17.0;9.918367346938776;3.6891862008687895
6;17.0;10.10204081632653;3.174077996320193
7;17.0;10.285714285714286;2.7539351894101856
8;17.0;10.46938775510204;2.405426360988713
9;17.0;10.653061224489797;2.1102752601273096
10;17.0;10.83673469387755;1.8554200135858991
11;17.0;11.020408163265307;1.6316596932574612
12;17.0;11.204081632653061;1.4324351910927362
13;17.0;11.387755102040817;1.252974372868266
14;17.0;11.571428571428571;1.089727740503804
15;17.0;11.755102040816327;0.9399985640575323
16;17.0;11.938775510204081;0.801697657951081
17;17.0;12.122448979591837;0.6731777928525844
18;17.0;12.306122448979592;0.5531195931671391
19;17.285714285714285;9.0;8.833503887492043
20;17.285714285714285;9.183673469387756;8.069799515998966
21;17.285714285714285;9.36734693877551;7.291495213043163
22;17.285714285714285;9.551020408163266;6.493837455769608
23;17.285714285714285;9.73469387755102;5.685963351103055
24;17.285714285714285;9.918367346938776;4.902274893973299
25;17.285714285714285;10.10204081632653;4.194564358569551
26;17.285714285714285;10.285714285714286;3.5959695375695446
27;17.285714285714285;10.46938775510204;3.104369950508044
28;17.285714285714285;10.653061224489797;2.6998680638735095
29;17.285714285714285;10.83673469387755;2.361658845866259
30;17.285714285714285;11.020408163265307;2.0734150339285407
31;17.285714285714285;11.204081632653061;1.8233134312231414
32;17.285714285714285;11.387755102040817;1.6029087901642924
33;17.285714285714285;11.571428571428571;1.4061065153382515
34;17.285714285714285;11.755102040816327;1.2284268403909664
35;17.285714285714285;11.938775510204081;1.066509504644273
36;17.285714285714285;12.122448979591837;0.917783713701283
37;17.285714285714285;12.306122448979592;0.7802462924755673
38;17.285714285714285;12.489795918367347;0.6523101561706426
39;17.285714285714285;12.673469387755102;0.5326988876931864
40;17.571428571428573;9.0;10.115697923874905
41;17.571428571428573;9.183673469387756;9.359772496305595
42;17.571428571428573;9.36734693877551;8.607994456016968
43;17.571428571428573;9.551020408163266;7.85043247725298
44;17.571428571428573;9.73469387755102;7.079184187286955
45;17.571428571428573;9.918367346938776;6.292684044159614
46;17.571428571428573;10.10204081632653;5.504549897332254
47;17.571428571428573;10.285714285714286;4.751057888517607
48;17.571428571428573;10.46938775510204;4.077770949612386
49;17.571428571428573;10.653061224489797;3.508634168842036
50;17.571428571428573;10.83673469387755;3.0381911853346537
51;17.571428571428573;11.020408163265307;2.647898263965544
52;17.571428571428573;11.204081632653061;2.319164249862297
53;17.571428571428573;11.387755102040817;2.0373462690822635
54;17.571428571428573;11.571428571428571;1.7917059279407113
55;17.571428571428573;11.755102040816327;1.5744710804883653
56;17.571428571428573;11.938775510204081;1.3799673311423248
57;17.571428571428573;12.122448979591837;1.2039828621182096
58;17.571428571428573;12.306122448979592;1.0433327163646027
59;17.571428571428573;12.489795918367347;0.8955637920316804
60;17.571428571428573;12.673469387755102;0.7587538760799362
61;17.571428571428573;12.857142857142858;0.6313728347140568
62;17.571428571428573;13.040816326530614;0.5121851281564886
63;17.857142857142858;9.0;11.42129148452841
64;17.857142857142858;9.183673469387756;10.638840016750692
65;17.857142857142858;9.36734693877551;9.87900685092427
66;17.857142857142858;9.551020408163266;9.131592010626264
67;17.857142857142858;9.73469387755102;8.38684319746244
68;17.857142857142858;9.918367346938776;7.635970820718285
69;17.857142857142858;10.10204081632653;6.873017681597048
70;17.857142857142858;10.285714285714286;6.099643172621654
71;17.857142857142858;10.46938775510204;5.33319321766794
72;17.857142857142858;10.653061224489797;4.610023152325084
73;17.857142857142858;10.83673469387755;3.968945971564608
74;17.857142857142858;11.020408163265307;3.42649588567474
75;17.857142857142858;11.204081632653061;2.975163867971787
76;17.857142857142858;11.387755102040817;2.5978282655942166
77;17.857142857142858;11.571428571428571;2.277836605799166
78;17.857142857142858;11.755102040816327;2.002008788711464
79;17.857142857142858;11.938775510204081;1.7605609204674693
80;17.857142857142858;12.122448979591837;1.546322662210514
81;17.857142857142858;12.306122448979592;1.3540008442414546
82;17.857142857142858;12.489795918367347;1.179629775133435
83;17.857142857142858;12.673469387755102;1.0201871832450706
84;17.857142857142858;12.857142857142858;0.8733301121374097
85;17.857142857142858;13.040816326530614;0.7372126460959407
86;17.857142857142858;13.224489795918368;0.6103586287918006
87;18.142857142857142;9.0;12.805709680402288
88;18.142857142857142;9.183673469387756;11.965873545823342
89;18.142857142857142;9.36734693877551;11.166230243628888
90;18.142857142857142;9.551020408163266;10.396556147863521
91;18.142857142857142;9.73469387755102;9.646912513742791
92;18.142857142857142;9.918367346938776;8.907774911776869
93;18.142857142857142;10.10204081632653;8.170227776479805
94;18.142857142857142;10.285714285714286;7.426734817299803
95;18.142857142857142;10.46938775510204;6.673410126577437
96;18.142857142857142;10.653061224489797;5.915015490872975
97;18.142857142857142;10.83673469387755;5.171687021056641
98;18.142857142857142;11.020408163265307;4.478373045605622
99;18.142857142857142;11.204081632653061;3.867219647980164
100;18.142857142857142;11.387755102040817;3.34896961441882
101;18.142857142857142;11.571428571428571;2.9149632722346723
102;18.142857142857142;11.755102040816327;2.549484981200294
103;18.142857142857142;11.938775510204081;2.23758106747664
104;18.142857142857142;12.122448979591837;1.9673476633270184
105;18.142857142857142;12.306122448979592;1.7298444146854308
106;18.142857142857142;12.489795918367347;1.518440955236656
107;18.142857142857142;12.673469387755102;1.3281909409142827
108;18.142857142857142;12.857142857142858;1.1553552518835204
